player_id,orapm,drapm,net_rapm,possessions,season,season_type
100720,3.89,-0.666,1.716,2463,2018,RS
100915,0.013,2.62,2.339,1585,2018,RS
100940,3.753,1.863,5.146,2814,2018,RS
100944,-0.519,1.839,1.462,1856,2018,RS
100949,-2.273,-1.056,-2.831,2114,2018,RS
101023,1.183,-1.5,-1.015,1152,2018,RS
101030,-2.262,-0.214,-1.805,1683,2018,RS
200665,-2.488,-3.724,-4.942,1795,2018,RS
200671,-1.002,-1.112,-0.977,2455,2018,RS
200673,-2.378,-1.596,-2.994,1346,2018,RS
200676,-1.36,0.629,0.493,2590,2018,RS
201049,-3.699,-3.592,-5.004,544,2018,RS
201067,-0.65,-3.463,-4.137,1414,2018,RS
201477,-2.188,1.222,-1.095,2449,2018,RS
201480,1.007,0.448,0.846,2859,2018,RS
201496,0.806,0.294,1.171,3009,2018,RS
201502,1.63,1.152,1.823,2464,2018,RS
201503,0.29,1.635,0.915,542,2018,RS
201506,4.926,1.774,4.362,1744,2018,RS
201507,-2.607,-2.677,-5.1,1003,2018,RS
201516,0.887,-0.018,1.511,2690,2018,RS
201518,-1.025,-3.202,-2.608,1000,2018,RS
201881,-0.331,2.457,2.186,2494,2018,RS
201886,0.586,1.245,1.68,3222,2018,RS
201889,-2.019,-0.886,-2.574,1000,2018,RS
201896,-0.397,-4.162,-3.408,2247,2018,RS
201904,-0.204,-0.215,-0.466,2836,2018,RS
201907,2.947,-1.832,1.606,1125,2018,RS
201911,4.993,-1.08,3.486,3558,2018,RS
201913,-1.312,0.605,0.098,1862,2018,RS
201919,-0.928,0.58,0.382,1703,2018,RS
202250,0.934,1.077,3.214,3300,2018,RS
202252,5.177,1.431,5.157,2496,2018,RS
202259,-1.305,-0.666,-1.315,934,2018,RS
202632,-0.357,0.916,0.571,2926,2018,RS
202633,1.667,2.155,2.995,3060,2018,RS
202638,-1.494,2.074,-0.275,2698,2018,RS
202640,0.449,1.148,2.302,486,2018,RS
202650,-2.735,2.548,-0.178,2020,2018,RS
202652,-1.908,-0.145,-1.275,633,2018,RS
202657,-1.107,-0.376,-0.853,529,2018,RS
202658,-0.253,-2.752,-2.574,1481,2018,RS
202662,-1.007,0.822,-0.36,2381,2018,RS
202663,-3.257,0.743,-1.732,636,2018,RS
202664,-0.295,0.546,0.705,2660,2018,RS
202670,4.049,-0.247,3.227,1181,2018,RS
203014,0.276,3.608,2.864,2212,2018,RS
203015,0.388,-1.249,-0.393,1801,2018,RS
203017,0.653,1.64,1.407,2174,2018,RS
203024,-2.446,0.581,-1.305,849,2018,RS
203026,3.277,1.481,3.776,2979,2018,RS
203029,0.399,0.767,0.502,1679,2018,RS
203389,0.848,-1.962,-1.518,1502,2018,RS
203398,3.105,3.837,5.621,2932,2018,RS
203399,6.199,-1.959,2.687,2801,2018,RS
203400,-0.096,0.34,0.214,3235,2018,RS
203401,-3.722,0.219,-1.78,754,2018,RS
203402,-1.126,-4.492,-3.851,1114,2018,RS
203403,-1.206,-4.048,-4.258,2021,2018,RS
203405,-1.044,0.083,-0.609,920,2018,RS
203406,-1.799,-0.577,-2.172,1647,2018,RS
203410,4.1,2.881,4.284,2314,2018,RS
203411,-0.61,-0.68,-0.783,1895,2018,RS
203437,-3.395,1.015,-1.706,1962,2018,RS
203823,1.259,-0.925,-0.122,2369,2018,RS
203824,0.39,1.761,2.045,2196,2018,RS
203825,1.397,-2.057,-0.878,3158,2018,RS
203826,2.96,2.211,3.666,2107,2018,RS
203827,-1.065,-0.042,-3.3,2797,2018,RS
203828,-1.063,0.777,-0.34,2320,2018,RS
203829,-2.282,-0.931,-1.929,2549,2018,RS
203831,-0.364,1.345,1.576,2548,2018,RS
203833,0.862,0.936,1.835,3461,2018,RS
203838,0.625,-0.504,0.265,922,2018,RS
203855,-1.02,-0.851,-1.553,1399,2018,RS
203857,-0.927,-0.502,-1.033,1044,2018,RS
203859,-0.834,0.388,-0.088,336,2018,RS
203866,2.206,0.317,2.229,2972,2018,RS
204296,-0.45,2.967,1.841,801,2018,RS
