player_id,orapm,drapm,net_rapm,possessions,season,season_type,window
100720,2.257,-0.585,0.859,4239,2022,RS,3
100940,0.127,0.262,0.053,3357,2022,RS,3
200671,2.148,1.051,2.378,930,2022,RS,3
200676,-0.059,-1.894,-1.419,1590,2022,RS,3
201480,1.186,1.678,2.238,3097,2022,RS,3
201496,0.094,1.583,1.122,3995,2022,RS,3
201502,-1.955,0.283,-1.627,700,2022,RS,3
201507,-0.48,-0.604,-0.674,2654,2022,RS,3
201516,3.69,-0.39,2.495,3912,2022,RS,3
201881,0.051,0.514,-0.889,724,2022,RS,3
201886,1.655,1.204,1.866,3062,2022,RS,3
201896,-1.251,2.055,-0.074,2748,2022,RS,3
201911,-0.165,-1.438,-0.592,1088,2022,RS,3
201913,-0.348,-0.708,-0.587,3046,2022,RS,3
201919,0.137,1.087,0.829,659,2022,RS,3
202250,1.32,1.073,3.053,3080,2022,RS,3
202252,3.138,2.645,3.785,2711,2022,RS,3
202259,-0.496,-0.854,-1.747,1797,2022,RS,3
202633,-2.07,-0.214,-1.964,1761,2022,RS,3
202638,0.205,-1.107,-0.822,667,2022,RS,3
202641,-2.463,-0.265,-1.55,586,2022,RS,3
202650,-2.611,-2.796,-3.202,1512,2022,RS,3
202658,-1.886,-0.378,-1.263,2807,2022,RS,3
202662,-0.316,2.829,1.531,1721,2022,RS,3
202664,3.704,0.489,2.421,3874,2022,RS,3
202670,-0.637,0.188,-0.154,963,2022,RS,3
203014,-1.249,0.094,-0.99,2187,2022,RS,3
203015,-1.785,0.767,-0.508,816,2022,RS,3
203018,-0.493,1.041,0.687,414,2022,RS,3
203024,1.128,-1.679,0.258,2356,2022,RS,3
203026,1.016,-0.832,1.327,1178,2022,RS,3
203029,-1.418,-0.244,-1.434,3319,2022,RS,3
203035,-2.263,-0.464,-2.281,3190,2022,RS,3
203043,-0.62,-0.076,-0.505,415,2022,RS,3
203398,0.425,2.596,2.401,2244,2022,RS,3
203399,2.59,0.65,3.146,1559,2022,RS,3
203400,4.983,1.651,4.214,4793,2022,RS,3
203403,-3.177,-1.141,-2.746,2206,2022,RS,3
203405,0.16,1.117,0.853,300,2022,RS,3
203406,-0.228,1.288,1.393,1949,2022,RS,3
203411,0.642,1.535,1.037,720,2022,RS,3
203416,1.021,1.236,1.188,3118,2022,RS,3
203437,0.107,-0.893,-0.607,453,2022,RS,3
203822,-0.332,2.165,0.271,1375,2022,RS,3
203823,1.549,-0.124,1.535,386,2022,RS,3
203824,-2.027,0.455,-1.844,1477,2022,RS,3
203825,1.251,-1.033,0.407,4794,2022,RS,3
203826,-1.036,2.026,0.533,1682,2022,RS,3
203827,-0.087,1.251,0.86,2319,2022,RS,3
203828,0.15,1.014,0.94,2557,2022,RS,3
203829,-0.554,-1.941,-2.563,902,2022,RS,3
203831,0.316,-0.329,0.066,1716,2022,RS,3
203833,1.513,1.744,2.482,4585,2022,RS,3
203838,-2.542,0.152,-2.473,815,2022,RS,3
203849,-1.852,-0.864,-2.082,2081,2022,RS,3
203855,-0.946,0.834,-0.364,2440,2022,RS,3
203866,0.45,0.917,0.857,4255,2022,RS,3
204296,-2.166,1.32,-0.569,1676,2022,RS,3
204319,1.707,0.867,1.612,6044,2022,RS,3
204320,-2.588,0.468,-0.791,2071,2022,RS,3
204322,-0.03,1.645,1.16,2208,2022,RS,3
204323,0.192,0.956,1.263,1374,2022,RS,3
204324,0.555,2.19,0.975,4200,2022,RS,3
204325,-0.635,0.636,0.135,424,2022,RS,3
204329,-1.168,0.483,-0.21,2906,2022,RS,3
204330,-0.51,0.787,0.402,3056,2022,RS,3
204333,-0.238,1.32,0.664,3459,2022,RS,3
204334,0.244,-2.637,-1.735,657,2022,RS,3
204335,-0.932,0.158,0.42,2222,2022,RS,3
204355,-1.751,0.323,-1.229,754,2022,RS,3
204365,-1.012,-1.722,-1.376,2409,2022,RS,3
1627668,4.09,1.697,3.781,5823,2022,RS,3
1627669,-1.751,-1.565,-2.108,2425,2022,RS,3
1627671,1.434,1.426,1.76,2482,2022,RS,3
1627672,0.123,-0.284,0.091,2735,2022,RS,3
1627673,3.052,1.421,2.904,1540,2022,RS,3
1627674,3.022,0.867,3.118,4459,2022,RS,3
1627675,-1.239,-1.205,-1.36,2602,2022,RS,3
1627676,-1.557,-1.08,-1.966,1245,2022,RS,3
1627678,-3.307,-1.09,-3.568,1104,2022,RS,3
1627700,0.289,-0.769,-0.171,1528,2022,RS,3
1628242,0.911,-0.252,0.772,834,2022,RS,3
1628244,0.538,-2.779,-1.806,2609,2022,RS,3
1628263,1.585,-2.048,0.372,1635,2022,RS,3
1628268,0.009,1.201,1.28,604,2022,RS,3
1628269,-0.135,0.146,0.255,2303,2022,RS,3
1628276,3.345,-0.757,2.16,3846,2022,RS,3
1628277,2.827,-0.043,2.171,3945,2022,RS,3
1628278,2.655,3.936,3.906,3243,2022,RS,3
1628279,0.244,0.235,-0.015,3289,2022,RS,3
1628280,2.717,3.415,4.068,1947,2022,RS,3
1628282,-0.433,-0.632,-0.954,1704,2022,RS,3
1628286,0.269,-0.158,-0.257,1312,2022,RS,3
1628287,-0.149,0.487,0.671,583,2022,RS,3
1628878,0.093,-1.656,-0.811,4787,2022,RS,3
1628881,-0.473,-1.556,-1.676,2114,2022,RS,3
1628882,-0.325,0.727,0.402,1838,2022,RS,3
1628886,0.129,2.089,0.977,3140,2022,RS,3
1628890,-3.564,0.089,-2.764,3260,2022,RS,3
1628899,1.826,-1.224,0.976,3146,2022,RS,3
1628909,0.723,-1.764,0.396,2812,2022,RS,3
1628915,-1.947,-2.233,-2.947,2609,2022,RS,3
1628917,0.277,-0.7,-0.432,509,2022,RS,3
1628920,0.418,0.734,1.397,2080,2022,RS,3
1628922,0.606,0.225,0.295,3342,2022,RS,3
1628927,-0.502,-2.001,-1.591,2365,2022,RS,3
1628929,-0.946,-1.075,-0.987,987,2022,RS,3
1628931,-0.55,-0.699,-1.002,2721,2022,RS,3
1628932,3.681,1.305,3.069,5301,2022,RS,3
1629476,0.512,-0.096,0.924,460,2022,RS,3
1629477,-0.123,-1.355,-0.356,2453,2022,RS,3
1629478,1.866,-0.617,0.903,3141,2022,RS,3
1629479,3.298,-0.182,2.55,2577,2022,RS,3
1629481,1.254,-1.438,-0.343,5169,2022,RS,3
1629482,0.913,-1.413,-0.592,3467,2022,RS,3
1629483,2.388,-0.876,0.81,3133,2022,RS,3
1629484,-0.774,-2.648,-2.273,959,2022,RS,3
1629485,1.521,-0.149,1.104,840,2022,RS,3
1629488,2.753,1.562,2.821,4975,2022,RS,3
1629491,-1.609,0.845,-0.21,2500,2022,RS,3
1629492,-1.318,-0.101,-1.738,977,2022,RS,3
1629496,0.439,1.164,0.859,3543,2022,RS,3
1629497,1.351,-0.375,0.071,3711,2022,RS,3
1629498,3.276,0.319,1.844,5654,2022,RS,3
1629501,0.046,1.786,-0.145,1167,2022,RS,3
1629506,-1.238,-1.756,-2.609,977,2022,RS,3
1629524,2.575,2.458,3.327,3222,2022,RS,3
1629567,-0.274,-1.074,-1.091,1897,2022,RS,3
1629568,-0.49,-1.125,-2.019,1472,2022,RS,3
1630093,0.432,1.838,1.668,1503,2022,RS,3
1630097,-0.136,1.45,2.111,934,2022,RS,3
1630099,-0.235,2.811,1.298,1725,2022,RS,3
1630100,-0.012,-0.83,-0.558,724,2022,RS,3
1630101,-0.713,-1.417,-1.928,3008,2022,RS,3
1630112,0.896,-1.021,-0.117,3121,2022,RS,3
1630113,-0.219,0.243,-0.664,1954,2022,RS,3
1630114,0.644,-0.171,0.097,684,2022,RS,3
1630115,-1.211,-1.281,-1.5,707,2022,RS,3
1630119,-3.569,-1.187,-3.428,1557,2022,RS,3
1630127,-1.066,0.906,1.187,1546,2022,RS,3
1630131,-3.31,0.296,-1.727,1928,2022,RS,3
1630136,-3.051,-2.076,-3.577,1551,2022,RS,3
1630139,-2.756,-2.941,-4.647,930,2022,RS,3
1630149,-0.647,0.969,1.195,1969,2022,RS,3
1630150,-0.134,-0.295,-0.606,1221,2022,RS,3
1630386,1.458,0.196,0.579,1122,2022,RS,3
1630387,0.18,-0.436,0.132,587,2022,RS,3
1630389,-1.754,0.379,-1.238,1347,2022,RS,3
1630438,1.157,-1.365,-0.136,425,2022,RS,3
1630441,-0.953,0.593,-0.366,398,2022,RS,3
1630444,-0.029,0.186,0.782,743,2022,RS,3
1630446,-0.2,-1.095,-0.599,1518,2022,RS,3
1630454,-1.316,-1.893,-1.843,843,2022,RS,3
1630459,-2.367,-1.255,-2.462,778,2022,RS,3
1630462,-2.741,1.555,-0.868,1626,2022,RS,3
1630957,-2.104,1.905,-0.283,1161,2022,RS,3
1631007,0.746,1.046,0.67,1071,2022,RS,3
1631009,-1.099,0.056,-0.605,1437,2022,RS,3
1631013,-0.361,-0.654,-0.691,325,2022,RS,3
1631019,-0.278,-0.604,0.636,1074,2022,RS,3
1631022,1.801,0.669,1.46,1445,2022,RS,3
