game_id,poss_id,off_team,def_team,points,off_p1,off_p2,off_p3,off_p4,off_p5,def_p1,def_p2,def_p3,def_p4,def_p5
1022001001,0,1611661313,1611661328,0,203406,204320,204329,1628915,1629477,100720,202252,203827,204319,1627668
1022001001,1,1611661313,1611661328,0,203406,204320,204329,1628915,1629477,100720,202252,203827,204319,1627668
1022001001,2,1611661328,1611661313,2,100720,202252,203827,204319,1627668,203406,204320,204329,1628915,1629477
1022001001,3,1611661313,1611661328,0,203406,204320,204329,1628915,1629477,100720,202252,203827,204319,1627668
1022001001,4,1611661328,1611661313,0,100720,202252,203827,204319,1627668,203406,204320,204329,1628915,1629477
1022001001,5,1611661313,1611661328,2,203406,204320,204329,1628915,1629477,100720,202252,203827,204319,1627668
1022001001,6,1611661328,1611661313,0,100720,202252,203827,204319,1627668,203406,204320,204329,1628915,1629477
1022001001,7,1611661313,1611661328,0,203406,204320,204329,1628915,1629477,100720,202252,203827,204319,1627668
1022001001,8,1611661328,1611661313,2,100720,202252,203827,204319,1627668,203406,204320,204329,1628915,1629477
1022001001,9,1611661313,1611661328,2,203406,204320,204329,1628915,1629477,100720,202252,203827,204319,1627668
1022001001,10,1611661328,1611661313,0,100720,202252,203827,204319,1627668,203406,204320,204329,1628915,1629477
1022001001,11,1611661313,1611661328,2,203406,204320,204329,1628915,1629477,100720,202252,203827,204319,1627668
1022001001,12,1611661328,1611661313,2,100720,202252,203827,204319,1627668,203406,204320,204329,1628915,1629477
1022001001,13,1611661313,1611661328,0,203406,204320,204329,1628915,1629477,100720,202252,203827,204319,1627668
1022001001,14,1611661328,1611661313,0,100720,202252,203827,204319,1627668,203406,204320,204329,1628915,1629477
1022001001,15,1611661313,1611661328,0,203406,204320,204329,1628915,1629477,100720,202252,203827,204319,1627668
1022001001,16,1611661328,1611661313,0,100720,202252,203827,204319,1627668,203406,204320,204329,1628915,1629477
1022001001,17,1611661313,1611661328,0,203406,204320,204329,1628915,1629477,100720,202252,203827,204319,1627668
1022001001,18,1611661328,1611661313,0,100720,202252,203827,204319,1627668,203406,204320,204329,1628915,1629477
1022001001,19,1611661313,1611661328,0,203406,204320,204329,1628915,1629477,100720,202252,203827,204319,1627668
1022001001,20,1611661328,1611661313,2,100720,202252,203827,204319,1627668,203406,204320,204329,1628915,1629477
1022001001,21,1611661313,1611661328,0,203406,204320,204329,1628915,1629477,100720,202252,203827,204319,1627668
1022001001,22,1611661328,1611661313,0,100720,202252,203827,204319,1627668,203406,204320,204329,1628915,1629477
1022001001,23,1611661313,1611661328,2,203406,204329,1628915,1629477,1630139,100720,202252,203827,204319,1627668
1022001001,24,1611661328,1611661313,2,100720,202252,204319,1627668,1628920,203406,204329,1628915,1629477,1630139
1022001001,25,1611661313,1611661328,0,204329,1628915,1629477,1630127,1630139,100720,202252,204319,1627668,1628920
1022001001,26,1611661328,1611661313,2,100720,202252,204319,1627668,1628920,204329,1628915,1629477,1630127,1630139
1022001001,27,1611661313,1611661328,0,204329,1628915,1629477,1630127,1630139,100720,202252,204319,1627668,1628920
1022001001,28,1611661328,1611661313,0,202252,204319,1627668,1628886,1628920,1628915,1629477,1630127,1630131,1630139
1022001001,29,1611661313,1611661328,0,1628915,1629477,1630127,1630131,1630139,202252,204319,1627668,1628886,1628920
1022001001,30,1611661328,1611661313,2,202252,204319,1627668,1628886,1628920,1628915,1629477,1630127,1630131,1630139
1022001001,31,1611661313,1611661328,0,1628915,1629477,1630127,1630131,1630139,202252,204319,1627668,1628886,1628920
1022001001,32,1611661313,1611661328,2,1628915,1629477,1630127,1630131,1630139,202252,202259,1627668,1628886,1628920
1022001001,33,1611661328,1611661313,0,202252,202259,1627668,1628886,1628920,1628915,1629477,1630127,1630131,1630139
1022001001,34,1611661313,1611661328,2,1628915,1629477,1630127,1630131,1630139,202252,202259,1627668,1628886,1628920
1022001001,35,1611661328,1611661313,3,202252,202259,1627668,1628886,1628920,1628915,1629477,1630127,1630131,1630139
1022001001,36,1611661313,1611661328,0,1628915,1629477,1630127,1630131,1630139,202252,202259,1627668,1628886,1628920
1022001001,37,1611661328,1611661313,0,202259,1627668,1628244,1628886,1628920,203406,1629477,1630115,1630127,1630139
1022001001,38,1611661328,1611661313,2,202259,1627668,1628244,1628886,1628920,203406,204329,1629477,1630115,1630127
1022001001,39,1611661313,1611661328,0,203406,204329,1630115,1630127,1630131,202259,1627668,1628244,1628886,1628920
1022001001,40,1611661328,1611661313,2,202259,1627668,1628244,1628886,1628920,203406,204329,1630115,1630127,1630131
1022001001,41,1611661313,1611661328,0,203406,204329,1630115,1630127,1630131,201518,202259,1628244,1628886,1628920
1022001001,42,1611661328,1611661313,2,201518,202259,1628244,1628886,1628920,203406,204329,1630115,1630127,1630131
1022001001,43,1611661313,1611661328,2,203406,204329,1630115,1630127,1630131,201518,202259,1628244,1628886,1628920
1022001001,44,1611661328,1611661313,0,201518,202259,1628244,1628886,1628920,203406,204329,1630115,1630127,1630131
1022001001,45,1611661313,1611661328,2,203406,204329,1630115,1630127,1630131,201518,202259,1628244,1628886,1628920
1022001001,46,1611661328,1611661313,0,201518,202259,1628244,1628886,1628920,203406,204329,1630115,1630127,1630131
1022001001,47,1611661313,1611661328,0,203406,204329,1628915,1630127,1630131,201518,202259,1628244,1628886,1628920
1022001001,48,1611661328,1611661313,0,201518,202259,1628244,1628886,1628920,203406,204329,1628915,1630127,1630131
1022001001,49,1611661313,1611661328,2,203406,204329,1628915,1630127,1630131,201518,202259,1628244,1628886,1628920
1022001001,50,1611661328,1611661313,0,201518,202259,1628244,1628886,1628920,203406,204329,1628915,1630127,1630131
1022001001,51,1611661328,1611661313,0,201518,202259,1628244,1628886,1628920,203406,204320,1628915,1630127,1630131
1022001001,52,1611661313,1611661328,3,203406,204320,1628915,1630127,1630131,201518,202259,1628244,1628886,1628920
1022001001,53,1611661328,1611661313,0,201518,202259,1628244,1628886,1628920,203406,204320,1628915,1630127,1630131
1022001001,54,1611661313,1611661328,2,203406,204320,1628915,1630127,1630131,201518,202259,1628244,1628886,1628920
1022001001,59,1611661328,1611661313,0,202252,203827,204319,1627668,1628886,203406,204329,1629477,1630127,1630131
1022001001,60,1611661313,1611661328,0,203406,204320,204329,1630127,1630131,202252,203827,204319,1627668,1628886
1022001001,61,1611661328,1611661313,0,202252,203827,204319,1627668,1628886,203406,204320,204329,1630127,1630131
1022001001,62,1611661313,1611661328,0,203406,204329,1629477,1630127,1630131,202252,203827,204319,1627668,1628886
1022001001,63,1611661328,1611661313,2,202252,203827,204319,1627668,1628886,203406,204329,1629477,1630127,1630131
1022001001,64,1611661313,1611661328,0,203406,204329,1629477,1630127,1630131,202252,203827,204319,1627668,1628886
1022001001,65,1611661328,1611661313,0,100720,202252,203827,204319,1627668,203406,204329,1629477,1630127,1630131
1022001001,66,1611661313,1611661328,1,203406,204329,1629477,1630127,1630131,100720,202252,203827,204319,1627668
1022001001,67,1611661328,1611661313,3,100720,202252,203827,204319,1627668,203406,204329,1629477,1630127,1630131
1022001001,68,1611661313,1611661328,0,203406,204329,1629477,1630127,1630131,100720,202252,203827,204319,1627668
1022001001,69,1611661328,1611661313,2,100720,202252,203827,204319,1627668,203406,204329,1629477,1630127,1630131
1022001001,70,1611661313,1611661328,0,203406,204329,1629477,1630127,1630131,100720,202252,203827,204319,1627668
1022001001,71,1611661313,1611661328,0,203406,204329,1630115,1630127,1630131,100720,202252,203827,204319,1627668
1022001001,72,1611661328,1611661313,0,100720,202252,203827,204319,1627668,203406,204329,1630127,1630131,1630139
1022001001,73,1611661313,1611661328,0,203406,1630115,1630127,1630131,1630139,100720,202252,203827,204319,1627668
1022001001,74,1611661328,1611661313,0,100720,202252,203827,204319,1627668,1629477,1630115,1630127,1630131,1630139
1022001001,75,1611661313,1611661328,0,1629477,1630115,1630127,1630131,1630139,100720,202252,203827,204319,1627668
1022001001,76,1611661328,1611661313,2,100720,202252,203827,204319,1627668,1629477,1630115,1630127,1630131,1630139
1022001001,77,1611661313,1611661328,0,1629477,1630115,1630127,1630131,1630139,100720,202252,203827,204319,1627668
1022001001,78,1611661328,1611661313,0,100720,202252,203827,204319,1627668,204329,1629477,1630127,1630131,1630139
1022001001,115,1611661313,1611661328,2,203406,204329,1630127,1630131,1630139,100720,202252,202259,1627668,1629496
